type,feature,id,dataset,group
featurization,The selected string focuses on a historical figure.,45,dbpedia,0
featurization,The selected string includes a specific date for facility change.,46,dbpedia,0
featurization,The selected string includes specific geographic coordinates and distances.,47,dbpedia,0
featurization,The selected string mentions voice actors for different language versions.,48,dbpedia,0
featurization,The selected string focuses on a single individual.,49,dbpedia,0
baseline,mention beach volleyball as a main subject.,0,dbpedia,1
baseline,discuss the history of baronetcies.,1,dbpedia,1
baseline,describe Supreme Court cases in the United States.,2,dbpedia,1
baseline,talk about hotels or resorts.,3,dbpedia,1
baseline,focus on speedway riders' careers.,4,dbpedia,1
baseline,discuss the architecture of museums or castles.,5,dbpedia,1
baseline,highlight beach volleyball achievements at the Olympics.,6,dbpedia,1
baseline,describe gallery exhibitions.,7,dbpedia,1
baseline,are about religious or historical buildings.,8,dbpedia,1
baseline,center around museums dedicated to specific themes.,9,dbpedia,1
baseline,detail the involvement in international volleyball circuits.,10,dbpedia,1
baseline,provide background on historic court cases.,11,dbpedia,1
baseline,describe achievements in motorcycle racing.,12,dbpedia,1
baseline,mention authors of significant legislature.,13,dbpedia,1
baseline,center on political careers in the UK.,14,dbpedia,1
baseline,discuss the founding of sports-related organizations.,15,dbpedia,1
baseline,describe national parks or conservation areas.,16,dbpedia,1
baseline,explore historic figures in politics and their legacy.,17,dbpedia,1
baseline,feature regional outlets or shopping complexes.,18,dbpedia,1
baseline,describe the founding and operation of educational institutions.,19,dbpedia,1
baseline,cover law cases concerned with citizenship rights.,20,dbpedia,1
baseline,document partnerships and achievements in beach volleyball tournaments.,21,dbpedia,1
baseline,narrate historical events involving military operations.,22,dbpedia,1
baseline,mention United States museum organizations.,23,dbpedia,1
baseline,describe historical culinary establishments.,24,dbpedia,1
baseline,reference educational achievements and community involvement.,25,dbpedia,1
baseline,relate to restoration and preservation of architectural landmarks.,26,dbpedia,1
baseline,mention partnerships in court casting.,27,dbpedia,1
baseline,are about partnerships in Olympic-level sports.,28,dbpedia,1
baseline,talk about the development of legal terms or rights.,29,dbpedia,1
baseline,involve national or international sporting events.,30,dbpedia,1
baseline,contain themes of military involvement and citizenship.,31,dbpedia,1
baseline,focus on judiciary cases of segregation.,32,dbpedia,1
baseline,contain information about historic buildings and crimes associated.,33,dbpedia,1
baseline,reference the architectural history of hotels.,34,dbpedia,1
baseline,provide context on speedway riders' achievements.,35,dbpedia,1
baseline,highlight international volunteering in sporting contexts.,36,dbpedia,1
baseline,involve themes of restoration within sporting contexts.,37,dbpedia,1
baseline,overview beach volleyball teams' achievements.,38,dbpedia,1
baseline,describe infrastructure contributions to scientific and educational exploration.,39,dbpedia,1
baseline,document personal achievements in the field of arts.,40,dbpedia,1
baseline,center on legal precedents concerning religious expressions.,41,dbpedia,1
baseline,detail significant events at museums.,42,dbpedia,1
baseline,overview cases of political campaigns and elections.,43,dbpedia,1
baseline,detail significant property designations or ownership.,44,dbpedia,1
baseline,highlight cultural exhibitions in museums.,45,dbpedia,1
baseline,overview permissions in legal frameworks.,46,dbpedia,1
baseline,describe notable court verdicts and legal conclusions.,47,dbpedia,1
baseline,provide history on families carrying baronetcies.,48,dbpedia,1
baseline,highlight legislative developments and corresponding court decisions.,49,dbpedia,1
prompting,The selected string focuses on a single achievement.,0,dbpedia,1
prompting,"The selected string uses a straightforward, factual tone.",1,dbpedia,1
prompting,The selected string uses precise date ranges for service.,2,dbpedia,1
prompting,"The selected string uses a straightforward, factual tone.",3,dbpedia,1
prompting,The selected string uses Norwegian language for a name.,4,dbpedia,1
prompting,The selected string mentions multiple locations within a single parish.,5,dbpedia,1
prompting,The selected string includes specific dates of birth and death.,6,dbpedia,1
prompting,The selected string focuses on legal implications and historic preservation.,7,dbpedia,1
prompting,The selected string focuses on a single individual's sports career.,8,dbpedia,1
prompting,The selected string questions judicial discretion in damage assessment.,9,dbpedia,1
prompting,The selected string uses a chronological event description.,10,dbpedia,1
prompting,The selected string focuses on a single individual's profession.,11,dbpedia,1
prompting,The selected string uses a nickname in quotation marks.,12,dbpedia,1
prompting,The selected string focuses on a sports achievement.,13,dbpedia,1
prompting,The selected string includes historical and architectural details.,14,dbpedia,1
prompting,The selected string mentions a geographical location in Minnesota.,15,dbpedia,1
prompting,The selected string lacks personal or biographical details.,16,dbpedia,1
prompting,The selected string lacks detailed background information.,17,dbpedia,1
prompting,The selected string focuses on a single individual's achievement.,18,dbpedia,1
prompting,The selected string uses a formal and analytical writing style.,19,dbpedia,1
prompting,"The selected string uses a regional setting, Aberdeenshire, Scotland.",20,dbpedia,1
prompting,The selected string is concise and lacks detailed narrative.,21,dbpedia,1
prompting,The selected string highlights participation in two World Championships.,22,dbpedia,1
prompting,The selected string mentions a specific street address.,23,dbpedia,1
prompting,The selected string uses a more celebratory and triumphant tone.,24,dbpedia,1
prompting,The selected string uses formal legal terminology.,25,dbpedia,1
prompting,The selected string provides information on marriage and offspring.,26,dbpedia,1
prompting,The selected string focuses on a sports career.,27,dbpedia,1
prompting,The selected string highlights hosting VIPs and celebrities.,28,dbpedia,1
prompting,The selected string focuses on a sports figure.,29,dbpedia,1
prompting,The selected string provides a detailed family lineage.,30,dbpedia,1
prompting,The selected string details familial connections and inheritance.,31,dbpedia,1
prompting,The selected string includes historical context and architectural details.,32,dbpedia,1
prompting,The selected string mentions a specific founder by name.,33,dbpedia,1
prompting,The selected string contains a narrative of personal and professional life.,34,dbpedia,1
prompting,The selected string lacks detailed historical or contextual background.,35,dbpedia,1
prompting,The selected string specifies a precise birth and death date.,36,dbpedia,1
prompting,The selected string mentions specific sports events and locations.,37,dbpedia,1
prompting,The selected string lacks detailed historical context.,38,dbpedia,1
prompting,The selected string focuses on historical nobility and titles.,39,dbpedia,1
prompting,The selected string uses a precise historical timeframe (1708-1710).,40,dbpedia,1
prompting,The selected string includes specific legal acts: NEPA and CAA.,41,dbpedia,1
prompting,"The selected string uses formal, straightforward language.",42,dbpedia,1
prompting,The selected string specifies a career-ending team.,43,dbpedia,1
prompting,The selected string includes specific Olympic participation details.,44,dbpedia,1
prompting,The selected string involves a unanimous Supreme Court decision.,45,dbpedia,1
prompting,The selected string highlights a historical sporting event.,46,dbpedia,1
prompting,The selected string is significantly shorter in length.,47,dbpedia,1
prompting,"The selected string uses a straightforward, factual tone.",48,dbpedia,1
prompting,The selected string uses legal terminology and references court decisions.,49,dbpedia,1
featurization,The selected string focuses on a sports career in speedway.,0,dbpedia,1
featurization,The selected string focuses on a Supreme Court case.,1,dbpedia,1
featurization,The selected string focuses on political career and baronetcy succession.,2,dbpedia,1
featurization,The selected string focuses on a single individual's biography.,3,dbpedia,1
featurization,The selected string focuses on a sports career.,4,dbpedia,1
featurization,The selected string provides detailed commercial and geographic information.,5,dbpedia,1
featurization,The selected string provides detailed location and ownership information.,6,dbpedia,1
featurization,The selected string includes specific partner names in competitions.,7,dbpedia,1
featurization,The selected string focuses on a single individual's sports career.,8,dbpedia,1
featurization,The selected string mentions both beach and indoor volleyball.,9,dbpedia,1
featurization,The selected string provides detailed geographic origins and affiliations.,10,dbpedia,1
featurization,The selected string focuses on a commercial establishment.,11,dbpedia,1
featurization,The selected string specifies exact dates of birth and death.,12,dbpedia,1
featurization,The selected string focuses on a single event participation.,13,dbpedia,1
featurization,The selected string focuses on team participation.,14,dbpedia,1
featurization,The selected string provides detailed results of sports competitions.,15,dbpedia,1
featurization,The selected string includes a specific partner's name.,16,dbpedia,1
featurization,The selected string mentions a team mate by name.,17,dbpedia,1
featurization,The selected string provides detailed family information.,18,dbpedia,1
featurization,The selected string focuses on educational and cultural institutions.,19,dbpedia,1
featurization,The selected string focuses on a single baronetcy title.,20,dbpedia,1
featurization,The selected string includes specific religious affiliations and rites.,21,dbpedia,1
featurization,The selected string focuses on a single location.,22,dbpedia,1
featurization,The selected string includes a specific opening date.,23,dbpedia,1
featurization,The selected string includes detailed genealogical information.,24,dbpedia,1
featurization,The selected string highlights a female athlete's participation.,25,dbpedia,1
featurization,The selected string focuses on a female athlete.,26,dbpedia,1
featurization,The selected string mentions a specific award title received.,27,dbpedia,1
featurization,The selected string mentions a sports partnership.,28,dbpedia,1
featurization,The selected string mentions a specific sports event participation.,29,dbpedia,1
featurization,The selected string mentions specific geographic locations in England.,30,dbpedia,1
featurization,The selected string focuses on a single individual.,31,dbpedia,1
featurization,The selected string focuses on a single individual's profession.,32,dbpedia,1
featurization,The selected string focuses on a sports figure.,33,dbpedia,1
featurization,The selected string mentions 17th-century historical figures.,34,dbpedia,1
featurization,The selected string mentions knighthood and baronetcy creation.,35,dbpedia,1
featurization,The selected string mentions educational institutions attended.,36,dbpedia,1
featurization,The selected string focuses on a hereditary title and lineage.,37,dbpedia,1
featurization,The selected string includes specific dates for political terms.,38,dbpedia,1
featurization,The selected string includes specific parliamentary constituencies.,39,dbpedia,1
featurization,The selected string includes a historical name change detail.,40,dbpedia,1
featurization,The selected string involves the United States Supreme Court.,41,dbpedia,1
featurization,The selected string discusses a Supreme Court case.,42,dbpedia,1
featurization,The selected string focuses on legal procedural details.,43,dbpedia,1
featurization,The selected string is concise and less detailed.,44,dbpedia,1
featurization,The selected string covers a broader time span.,45,dbpedia,1
featurization,The selected string references historical baronetcy succession.,46,dbpedia,1
featurization,The selected string includes a specific date of title succession.,47,dbpedia,1
featurization,The selected string mentions a specific team leadership role.,48,dbpedia,1
featurization,The selected string specifies a construction year.,49,dbpedia,1
baseline,indicate horse racing events and locations.,0,dbpedia,2
baseline,mention American football players and teams.,1,dbpedia,2
baseline,reference pornographic actors and the film industry.,2,dbpedia,2
baseline,discuss rivers and geographical features.,3,dbpedia,2
baseline,highlight rugby league teams and competitions.,4,dbpedia,2
baseline,describe voice actors from Japan.,5,dbpedia,2
baseline,talk about professional basketball teams and leagues.,6,dbpedia,2
baseline,"focus on dams, reservoirs, and hydroelectric power.",7,dbpedia,2
baseline,mention American National Hockey League affiliates.,8,dbpedia,2
baseline,relate to specific cycling races and tours.,9,dbpedia,2
baseline,indicate historical horse races and their winners.,10,dbpedia,2
baseline,describe professional affiliations and coaching roles in NFL.,11,dbpedia,2
baseline,feature soccer or rugby clubs and locations.,12,dbpedia,2
baseline,emphasize thoroughbreds and flat racing distance.,13,dbpedia,2
baseline,refer to tributaries and detailed river routes.,14,dbpedia,2
baseline,mention Australian rules football clubs and locations.,15,dbpedia,2
baseline,highlight greyhound racing tracks and locations.,16,dbpedia,2
baseline,talk about profession and national origin of actresses.,17,dbpedia,2
baseline,feature ice hockey clubs and league participation.,18,dbpedia,2
baseline,provide specific locale details like racecourse or racetrack.,19,dbpedia,2
baseline,introduce women's cycling teams and geographical base.,20,dbpedia,2
baseline,detail infamous plays or moments in the NFL.,21,dbpedia,2
baseline,refer to hydroelectric projects and water diversion.,22,dbpedia,2
baseline,describe specific distances for various horse races.,23,dbpedia,2
baseline,mention NCAA College Football affiliations and records.,24,dbpedia,2
baseline,provide historical NFL context or background information.,25,dbpedia,2
baseline,refer to annual or recurring horse races.,26,dbpedia,2
baseline,mention specific date-based events or historical articles.,27,dbpedia,2
baseline,highlight former football players' post-retirement activities.,28,dbpedia,2
baseline,emphasize river ecology and geographical region.,29,dbpedia,2
baseline,describe various athletic tournaments or friendly matches.,30,dbpedia,2
baseline,indicate specific river origins or termination locations.,31,dbpedia,2
baseline,refer to sports teams' founding dates and base locations.,32,dbpedia,2
baseline,focus on horse racing history in specific countries.,33,dbpedia,2
baseline,describe individual achievements or awards in sporting careers.,34,dbpedia,2
baseline,refer to gymnasiums or fitness-related establishments.,35,dbpedia,2
baseline,emphasize geographical boundaries or neighboring countries.,36,dbpedia,2
baseline,highlight top-level team management or leadership details.,37,dbpedia,2
baseline,mention voice actors' affiliated production companies.,38,dbpedia,2
baseline,include historical tournaments or challenges in rugby.,39,dbpedia,2
baseline,emphasize specific sporting event rules or competition format.,40,dbpedia,2
baseline,refer to annual horse racing events.,41,dbpedia,2
baseline,describe professional careers in rugby union.,42,dbpedia,2
baseline,refer to river tributaries and their ecological significance.,43,dbpedia,2
baseline,emphasize specific river forms and geographical details.,44,dbpedia,2
baseline,"mention specific movies, roles, and filmography.",45,dbpedia,2
baseline,highlight notable achievements in voice acting.,46,dbpedia,2
baseline,refer to river confluences and water systems.,47,dbpedia,2
baseline,include voice actor affiliations and roles.,48,dbpedia,2
baseline,include voice actor affiliations and roles.,49,dbpedia,2
prompting,The selected string lacks specific historical or geographical details.,0,dbpedia,2
prompting,The selected string is concise and to the point.,1,dbpedia,2
prompting,The selected string includes specific tournament participation details.,2,dbpedia,2
prompting,The selected string focuses on a single sports team entity.,3,dbpedia,2
prompting,The selected string uses Japanese characters for names and roles.,4,dbpedia,2
prompting,The selected string focuses on an individual's career.,5,dbpedia,2
prompting,The selected string focuses on a single subject.,6,dbpedia,2
prompting,The selected string focuses on a river's course and tributaries.,7,dbpedia,2
prompting,The selected string mentions multiple rounds in its event.,8,dbpedia,2
prompting,The selected string focuses on a river's course and tributary.,9,dbpedia,2
prompting,The selected string mentions a historical sports league rivalry.,10,dbpedia,2
prompting,The selected string focuses on a specific annual sporting event.,11,dbpedia,2
prompting,The selected string specifies a precise annual event timing.,12,dbpedia,2
prompting,The selected string includes a governing body's name and role.,13,dbpedia,2
prompting,The selected string includes a disclaimer for name confusion.,14,dbpedia,2
prompting,The selected string includes Japanese characters and romanization.,15,dbpedia,2
prompting,The selected string focuses on natural rather than human activities.,16,dbpedia,2
prompting,The selected string mentions a specific district in Rwanda.,17,dbpedia,2
prompting,The selected string details a purse amount for the race.,18,dbpedia,2
prompting,The selected string uses a more narrative tone.,19,dbpedia,2
prompting,The selected string contains explicit financial and career details.,20,dbpedia,2
prompting,The selected string mentions water reservoirs and their purpose.,21,dbpedia,2
prompting,The selected string focuses on a single individual's achievements.,22,dbpedia,2
prompting,The selected string includes specific influential individuals' names.,23,dbpedia,2
prompting,The selected string highlights college sports background: Kansas State.,24,dbpedia,2
prompting,The selected string lacks personal or biographical information.,25,dbpedia,2
prompting,"The selected string is set in Northern Ireland, emphasizing locality.",26,dbpedia,2
prompting,The selected string mentions a specific year transition.,27,dbpedia,2
prompting,The selected string uses phonetic pronunciation for a name.,28,dbpedia,2
prompting,The selected string includes specific birth and career dates.,29,dbpedia,2
prompting,The selected string has a narrative of team resurrection.,30,dbpedia,2
prompting,The selected string highlights a successful Mini rugby section.,31,dbpedia,2
prompting,The selected string includes specific award names and years.,32,dbpedia,2
prompting,The selected string mentions a professional affiliation.,33,dbpedia,2
prompting,The selected string uses Dutch terms like 'Korfbalvereniging'.,34,dbpedia,2
prompting,The selected string is concise and straightforward.,35,dbpedia,2
prompting,The selected string provides a precise race distance in meters.,36,dbpedia,2
prompting,The selected string includes specific career achievements and accolades.,37,dbpedia,2
prompting,The selected string is concise and to the point.,38,dbpedia,2
prompting,The selected string focuses on a global sports event.,39,dbpedia,2
prompting,The selected string covers a non-continuous timeline of events.,40,dbpedia,2
prompting,"The selected string describes a remote, sparsely populated area.",41,dbpedia,2
prompting,The selected string uses a chronological narrative structure.,42,dbpedia,2
prompting,The selected string mentions a specific television network.,43,dbpedia,2
prompting,The selected string includes a personal health-related career-ending event.,44,dbpedia,2
prompting,The selected string includes historical references to Lewis and Clark.,45,dbpedia,2
prompting,The selected string includes explicit adult industry references.,46,dbpedia,2
prompting,The selected string focuses on an individual's sports career.,47,dbpedia,2
prompting,The selected string specifies a consistent annual occurrence since 1885.,48,dbpedia,2
prompting,The selected string includes specific measurements and geographical data.,49,dbpedia,2
featurization,The selected string mentions involvement in the adult film industry.,0,dbpedia,2
featurization,The selected string includes Japanese characters and romanization.,1,dbpedia,2
featurization,The selected string includes specific league information.,2,dbpedia,2
featurization,The selected string focuses on an individual's biography.,3,dbpedia,2
featurization,The selected string focuses on a sports club.,4,dbpedia,2
featurization,The selected string targets an audience interested in horse racing.,5,dbpedia,2
featurization,"The selected string describes a geographical feature, a river.",6,dbpedia,2
featurization,The selected string focuses on a voice acting career.,7,dbpedia,2
featurization,The selected string focuses on American football exclusively.,8,dbpedia,2
featurization,The selected string includes a list of specific localities.,9,dbpedia,2
featurization,The selected string focuses on a defunct sports team.,10,dbpedia,2
featurization,The selected string includes international competition details.,11,dbpedia,2
featurization,The selected string includes a substitute event description.,12,dbpedia,2
featurization,The selected string mentions multiple team categories.,13,dbpedia,2
featurization,The selected string includes notable individuals associated with the club.,14,dbpedia,2
featurization,The selected string includes an organizational affiliation.,15,dbpedia,2
featurization,The selected string includes multiple aliases of the individual.,16,dbpedia,2
featurization,The selected string focuses on adult entertainment industry.,17,dbpedia,2
featurization,The selected string describes a natural water body.,18,dbpedia,2
featurization,The selected string is set in Australia.,19,dbpedia,2
featurization,"The selected string focuses on a single, specific event.",20,dbpedia,2
featurization,The selected string mentions awards specific to adult film industry.,21,dbpedia,2
featurization,The selected string includes multiple team affiliations.,22,dbpedia,2
featurization,The selected string includes multiple languages and translations.,23,dbpedia,2
featurization,The selected string mentions a former stage name of the subject.,24,dbpedia,2
featurization,The selected string details historical infrastructure development.,25,dbpedia,2
featurization,"The selected string is set in England, not the USA.",26,dbpedia,2
featurization,The selected string includes a precise time frame of existence.,27,dbpedia,2
featurization,The selected string focuses on an individual's career in entertainment.,28,dbpedia,2
featurization,The selected string includes specific race conditions and restrictions.,29,dbpedia,2
featurization,The selected string includes a specific birth date.,30,dbpedia,2
featurization,The selected string includes specific dates for events.,31,dbpedia,2
featurization,The selected string includes specific years and events.,32,dbpedia,2
featurization,The selected string emphasizes cultural and ethnic background.,33,dbpedia,2
featurization,The selected string describes a natural geographic feature.,34,dbpedia,2
featurization,The selected string focuses on a horse racing event.,35,dbpedia,2
featurization,The selected string specifies an exact event date.,36,dbpedia,2
featurization,The selected string focuses on ice hockey sports team history.,37,dbpedia,2
featurization,The selected string includes a specific ranking position.,38,dbpedia,2
featurization,The selected string lists multiple teams the player has joined.,39,dbpedia,2
featurization,The selected string mentions an affiliation with an agency.,40,dbpedia,2
featurization,The selected string is significantly longer and more detailed.,41,dbpedia,2
featurization,The selected string specifies two NFL teams played for.,42,dbpedia,2
featurization,The selected string lists multiple professional football teams.,43,dbpedia,2
featurization,The selected string mentions a specific founding year.,44,dbpedia,2
featurization,The selected string includes specific geographical coordinates and measurements.,45,dbpedia,2
featurization,"The selected string focuses on a geographical feature, a river.",46,dbpedia,2
featurization,The selected string focuses on a river's course and tributary.,47,dbpedia,2
featurization,The selected string focuses on a geographical feature.,48,dbpedia,2
featurization,The selected string describes a change in venue location.,49,dbpedia,2
baseline,relate to navigation and rail travel info.,0,nyt,0
baseline,describe botanical gardens and plant events.,1,nyt,0
baseline,discuss ancient architecture and monuments.,2,nyt,0
baseline,involve language and cultural immersion programs.,3,nyt,0
baseline,cover unique lodging experiences.,4,nyt,0
